INC000002529880;Atrasou;00 02:55:20;7259APL-SIORM;MAINVIEW-SIORM-BRPT-AORMQPS00     AORMQPS00 P6DF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:00:34
INC000002529886;Atrasou;00 05:11:55;7259APL-SIORM;MAINVIEW-SIORM-BRP4-AORMQP1S00    AORMQP1S00 P4DF  FILA  LQ.INT.SIORM.GARANTIA.COM ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:06:08
INC000002529890;Atrasou;00 03:57:47;7259INA-MQ-BRP4;MAINVIEW-SNI  -BRP4-ADEADQUES00   ADEADQUES00 P4DF  FILA  BRP4.DEAD.QUEUE ACUMULADA  (6);03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 04:16:08
INC000002529971;Atrasou;00 00:51:44;7259MOD-SIORM-ONLINE;*HOMOLOGAÇÃO.7259APL-SIORM.INDISPONIBILIDADE;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoD45.;9/1/2019 13:58:09
INC000002530042;Atrasou;00 01:31:37;7259MOD-SISPL-BATCH;CTRLM-SISPL-SPL30MZA-MF-ABEND ORDER ID 7D4QS;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 08:09:58
INC000002530094;Atrasou;00 01:58:39;7259MOD-SICTB-BATCH;CTRLM-SICTB-CTBOMZ18-MF-ABEND ORDER ID BB41E;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 10:28:58
INC000002530108;Atrasou;00 01:12:52;7259FUN-MONITOR PAINEL;Painel de Indicadores - SIMIC - Sem Dados Coletados Parser: SIMIC_MICROCREDITO Ferramenta:;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 11:11:29
INC000002530114;Atrasou;00 01:22:29;7259MOD-SICLI-BATCH;CTRLM-SICLI-CLI51MZF-MF-ABEND ORDER ID BAX3J;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 11:28:11
INC000002530228;Atrasou;00 01:24:01;7259APL-SIPCS;PAINEL DE INDICADORES - ATENDIMENTO - OCORRÊNCIA: VOLUME DE TRANSAÇÕES DO APP CARTÕES;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;7/1/2019 11:54:22
INC000002530290;Atrasou;00 01:13:52;7259APL-SIORM;MAINVIEW-SIORM-BRPU-AORMQP1S00    AORMQP1S00 PADF  FILA  SPP6.XMIT.QUEUE ACUMULADA  (10856) -;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 11:57:15
